qid,intent,verdict,sem_asin,sem_sim,sem_quality,sem_popularity,sem_rel,base_asin,base_sim,base_quality,base_popularity,base_rel,delta_sim,delta_quality,delta_popularity
Q01,semantic,same,B000NB5AVK,0.68501854,0.74676517594919,0.264251666046968,2,B000NB5AVK,0.68501854,0.74676517594919,0.264251666046968,2,0.0,0.0,0.0
Q02,semantic,swap_no_impact,B00NQ2HVBU,0.54953015,0.712152511510238,0.4714966660684054,1,B00IXX8YMM,0.5230161,0.7295722039965615,0.999999998162342,0,-0.026514053,0.01741969248632358,0.5285033320939365
Q03,semantic,same,B0043N4BSC,0.7396769,0.6992755041277875,0.4044410637970561,0,B0043N4BSC,0.7396769,0.6992755041277875,0.4044410637970561,0,0.0,0.0,0.0
Q04,semantic,same,B07C4QKBVY,0.7321467,0.865695554173457,0.5491156258461214,2,B07C4QKBVY,0.7321467,0.865695554173457,0.5491156258461214,2,0.0,0.0,0.0
Q05,semantic,same,B07TN3W1KX,0.67748344,0.7291149145971028,0.999999998162342,2,B07TN3W1KX,0.67748344,0.7291149145971028,0.999999998162342,2,0.0,0.0,0.0
Q06,semantic,BASE_REGRESSED,B07YBSGXFC,0.6593132,0.4656301141700038,0.1684419185107776,2,B002ES6Z0K,0.6196108,0.7304488387117449,0.8423357463255022,0,-0.039702415,0.26481872454174116,0.6738938278147246
Q07,semantic,same,B00R880X2M,0.8532082,0.6334765937068718,0.264251666046968,3,B00R880X2M,0.8532082,0.6334765937068718,0.264251666046968,3,0.0,0.0,0.0
Q08,semantic,same,B07XTDZ97F,0.7490174,0.6504650034701437,0.5590183791876224,2,B07XTDZ97F,0.7490174,0.6504650034701437,0.5590183791876224,2,0.0,0.0,0.0
Q09,semantic,same,B07X824K8Y,0.6779662,0.8233987447374195,0.5177636199790577,3,B07X824K8Y,0.6779662,0.8233987447374195,0.5177636199790577,3,0.0,0.0,0.0
Q10,semantic,same,B00VMC0BRM,0.79361355,0.6427466145400222,0.578084080278534,3,B00VMC0BRM,0.79361355,0.6427466145400222,0.578084080278534,3,0.0,0.0,0.0
Q11,price,same,B008NBESXS,0.6154889,0.7969804357466572,0.999999998162342,2,B008NBESXS,0.6154889,0.7969804357466572,0.999999998162342,2,0.0,0.0,0.0
Q12,price,BASE_REGRESSED,B09JL17YH6,0.68626034,0.617431364689282,0.3407542719723648,2,B091XMV7K1,0.65563345,0.8260505822434556,0.9745749408058368,0,-0.030626893,0.20861921755417367,0.633820668833472
Q13,price,same,B00IJHJIA4,0.72371703,0.6773528883289046,0.6759545602277638,0,B00IJHJIA4,0.72371703,0.6773528883289046,0.6759545602277638,0,0.0,0.0,0.0
Q14,price,BASE_REGRESSED,B082FSCYCP,0.5367822,0.8449486035371165,0.1401893977500879,3,B073NTQXFF,0.53233063,0.8406836137812832,0.3577008204796789,0,-0.004451573,-0.004264989755833337,0.21751142272959098
