intent,system,n_q,ndcg5,mrr,recall5,prec5,map10
brand,bm25,3,0.647,1.0,0.38,0.533,0.415
brand,hybrid_v4,3,0.619,1.0,0.35,0.533,0.463
brand,search_base,3,0.679,1.0,0.406,0.6,0.4
brand,search_v3,3,0.624,1.0,0.35,0.533,0.387
brand,semantic,3,0.605,1.0,0.297,0.467,0.4
dosage,bm25,3,0.906,1.0,0.213,0.933,0.905
dosage,hybrid_v4,3,0.744,1.0,0.165,0.733,0.374
dosage,search_base,3,0.616,0.833,0.159,0.733,0.508
dosage,search_v3,3,0.565,0.833,0.119,0.533,0.248
dosage,semantic,3,0.55,0.778,0.156,0.667,0.46
negation,bm25,5,0.287,0.39,0.115,0.28,0.119
negation,hybrid_v4,5,0.409,0.569,0.115,0.28,0.16
negation,search_base,5,0.454,0.72,0.179,0.44,0.224
negation,search_v3,5,0.415,0.558,0.147,0.32,0.165
negation,semantic,5,0.446,0.829,0.163,0.4,0.232
price,bm25,4,0.438,0.781,0.103,0.7,0.637
price,hybrid_v4,4,0.195,0.375,0.039,0.3,0.229
price,search_base,4,0.206,0.5,0.039,0.3,0.168
price,search_v3,4,0.211,0.5,0.039,0.3,0.207
price,semantic,4,0.433,0.75,0.079,0.55,0.386
semantic,bm25,22,0.525,0.847,0.116,0.664,0.554
semantic,hybrid_v4,22,0.571,0.808,0.1,0.618,0.508
semantic,search_base,22,0.532,0.782,0.11,0.627,0.476
semantic,search_v3,22,0.527,0.708,0.098,0.591,0.442
semantic,semantic,22,0.541,0.871,0.11,0.618,0.498
