qid,intent,system,query,ndcg5,mrr,recall5,prec5,ap10,elapsed_s,top1
Q01,semantic,bm25,moisturizer for dry sensitive skin,0.5508492941340157,1.0,0.04504504504504504,1.0,0.7763888888888889,0.009748697280883789,B0031MQNK0
Q01,semantic,semantic,moisturizer for dry sensitive skin,0.3723406810661392,1.0,0.036036036036036036,0.8,0.55,0.00206756591796875,B000NB5AVK
Q01,semantic,search_base,moisturizer for dry sensitive skin,0.3910842635679024,1.0,0.036036036036036036,0.8,0.4625,0.06351208686828613,B000NB5AVK
Q01,semantic,search_v3,moisturizer for dry sensitive skin,0.3723406810661392,1.0,0.036036036036036036,0.8,0.5225,0.05439305305480957,B000NB5AVK
Q01,semantic,hybrid_v4,moisturizer for dry sensitive skin,0.36597070721026864,1.0,0.036036036036036036,0.8,0.7254365079365078,0.06504535675048828,B0185LXTNK
Q02,semantic,bm25,shampoo for color treated hair,0.13120507751234178,0.2,0.08333333333333333,0.2,0.1961904761904762,0.010577917098999023,B085D7Z3NR
Q02,semantic,semantic,shampoo for color treated hair,0.15678842759531927,0.0,0.0,0.0,0.0,0.0017352104187011719,B00NQ2HVBU
Q02,semantic,search_base,shampoo for color treated hair,0.11506378074895644,0.0,0.0,0.0,0.0,0.05337667465209961,B00IXX8YMM
Q02,semantic,search_v3,shampoo for color treated hair,0.1278554557904452,0.0,0.0,0.0,0.0,0.05451846122741699,B00IXX8YMM
Q02,semantic,hybrid_v4,shampoo for color treated hair,0.2620045784218241,0.1111111111111111,0.0,0.0,0.03111111111111111,0.06505608558654785,B00NQ2HVBU
Q03,semantic,bm25,anti aging face serum with retinol,0.5500198443489768,1.0,0.0975609756097561,0.8,0.8154365079365078,0.012135982513427734,B071HHSMTT
Q03,semantic,semantic,anti aging face serum with retinol,0.4516859823388047,0.5,0.0975609756097561,0.8,0.6082142857142857,0.0018835067749023438,B0043N4BSC
Q03,semantic,search_base,anti aging face serum with retinol,0.4516859823388047,0.5,0.0975609756097561,0.8,0.4916666666666667,0.05924654006958008,B0043N4BSC
Q03,semantic,search_v3,anti aging face serum with retinol,0.4516859823388047,0.5,0.0975609756097561,0.8,0.4216666666666667,0.06493759155273438,B0043N4BSC
Q03,semantic,hybrid_v4,anti aging face serum with retinol,0.6305790388876256,1.0,0.0975609756097561,0.8,0.6377777777777778,0.07930374145507812,B00OWATQOK
Q04,semantic,bm25,probiotic supplement for digestive health,0.4285714285714286,1.0,0.1111111111111111,1.0,1.0,0.013027667999267578,B01M04TZTN
