qid,intent,query,bm25,hybrid_v4,search_base,search_v3,semantic,winner,margin
Q01,semantic,moisturizer for dry sensitive skin,0.5508492941340157,0.3659707072102686,0.3910842635679024,0.3723406810661392,0.3723406810661392,bm25,0.18487858692374715
Q02,semantic,shampoo for color treated hair,0.1312050775123417,0.2620045784218241,0.1150637807489564,0.1278554557904452,0.1567884275953192,hybrid_v4,0.14694079767286772
Q03,semantic,anti aging face serum with retinol,0.5500198443489768,0.6305790388876256,0.4516859823388047,0.4516859823388047,0.4516859823388047,hybrid_v4,0.17889305654882087
Q04,semantic,probiotic supplement for digestive health,0.4285714285714286,0.5714548078419106,0.6477522099264775,0.6477522099264775,0.6343169226155623,search_base,0.21918078135504893
Q05,semantic,natural deodorant aluminum free,0.6834865044592723,0.2295346440216254,0.6642481750767993,0.4907104639457961,0.6642481750767993,bm25,0.4539518604376469
Q06,semantic,sunscreen for face spf 50,0.5594401368490773,0.5594401368490773,0.2705129656134635,0.2705129656134635,0.3828952311110633,bm25,0.28892717123561384
Q07,semantic,biotin supplement for hair growth,1.0,0.9030970842075382,0.8415580415114009,0.9250256699929476,0.8281227542004858,bm25,0.17187724579951424
Q08,semantic,electric toothbrush rechargeable,0.7058448886378986,0.8777221344374128,0.8061941684150765,0.9030970842075382,0.6477522099264775,search_v3,0.2553448742810607
Q09,semantic,collagen powder for skin and joints,0.7808192186449511,1.0,0.7196802858636574,0.4946185466287264,0.9030970842075382,hybrid_v4,0.5053814533712736
Q10,semantic,essential oil diffuser aromatherapy,0.2919939894316615,0.6961676269733493,0.8848529619912747,0.8403080070928569,1.0,semantic,0.7080060105683386
Q11,price,affordable face cream for daily use,0.6120332992006363,0.2453837928402323,0.289013178874795,0.289013178874795,0.5549706843642549,bm25,0.36664950636040405
Q12,price,cheap toothpaste whitening,0.4633076059118403,0.5347079142490148,0.5354499923141196,0.5560237049633472,0.4396017199182606,search_v3,0.1164219850450866
Q13,price,premium hair growth serum,0.0,0.0,0.0,0.0,0.0,bm25,0.0
Q14,price,budget multivitamin daily,0.6762133787668818,0.0,0.0,0.0,0.7381941711356502,semantic,0.7381941711356502
Q15,negation,sleep aid without melatonin,0.1626640851006452,0.1182587005405486,0.2927953531811613,0.032532817020129,0.3183524354737462,semantic,0.2858196184536172
Q16,negation,shampoo without sulfate,0.2620045784218241,0.5453092190767764,0.3270396664923995,0.4582447440047413,0.4104889601851253,hybrid_v4,0.2833046406549523
Q17,negation,moisturizer fragrance free for sensitive skin,0.1312050775123417,0.2364212283388465,0.0,0.0,0.0486894499475688,hybrid_v4,0.2364212283388465
Q18,negation,deodorant aluminum free unscented,0.7323665865188884,0.3551165672285621,0.7624826972795136,0.6799362445973298,0.7420128817394331,search_base,0.40736613005095146
Q19,negation,vitamin c serum no parabens,0.1460683498427064,0.7895676983469901,0.8869465982421278,0.9026211001048622,0.7112741403342752,search_v3,0.7565527502621558
Q20,dosage,vitamin d3 5000 iu,1.0,0.8227149188007639,0.7084851350554612,0.7323665865188884,0.6922948496317057,bm25,0.30770515036829427
Q21,dosage,magnesium 400mg capsules,0.8994167599480843,0.6617166443621376,0.3948246595922834,0.5449431188864663,0.4346713758946004,bm25,0.5045921003558009
Q22,dosage,fish oil omega 3 1000mg,0.8196294557259916,0.7469522688816453,0.7446551257189392,0.4178685290912156,0.522289373791666,bm25,0.40176092663477597
Q23,semantic,help me fall asleep at night,0.5000176164860974,0.3442940331408015,0.4179139275841161,0.2557519624582246,0.3958279460726365,bm25,0.24426565402787281
Q24,semantic,stop my hair from falling out,0.049117261101357,0.3804366871876392,0.1238760789658473,0.1774678940646964,0.3419743257635235,hybrid_v4,0.3313194260862822
Q25,semantic,soothe my dry cracked hands,0.401760926634776,0.4870993519508458,0.7058448886378986,0.7058448886378986,0.6004486743709427,search_base,0.3040839620031226
